7;0;5
503;0;12;10881.95306561051
506;0;12;10881.95306561051
650;0;8;8638.01295590025
651;0;12;8638.01295590025
1250;0;5;10505.469102342764
1257;0;10;10505.469102342764
1256;0;10;10505.469102342764
1254;0;15;10505.469102342764
1238;0;7;10889.573171390599
287;0;13;12012.816972573688
1240;0;11;10889.573171390599
290;0;7;12012.816972573688
286;0;7;12012.816972573688
282;0;13;12012.816972573688
1239;0;13;10889.573171390599
716;0;8;10026.16118464764
709;0;7;10026.16118464764
717;0;11;10026.16118464764
1241;0;9;10889.573171390599
713;0;12;10026.16118464764
579;1;8;10024.347149503734
585;0;9;10024.347149503734
586;0;10;10024.347149503734
98;0;5;11385.534332670926
519;0;8;10308.295136986924
94;0;15;11385.534332670926
512;0;9;10308.295136986924
93;0;13;11385.534332670926
62;0;11;8595.97615173626
1339;0;5;10813.39927083402
61;0;11;8595.97615173626
63;0;9;8595.97615173626
1340;0;15;10813.39927083402
1337;0;10;10813.39927083402
518;0;12;10308.295136986924
57;0;9;8595.97615173626
516;0;11;10308.295136986924
880;0;11;10516.009631484932
882;0;8;10516.009631484932
883;0;11;10516.009631484932
1272;0;9;9373.091527284563
1278;0;8;9373.091527284563
1279;0;12;9373.091527284563
552;0;10;7801.22335388256
549;0;9;7801.22335388256
871;1;8;10516.009631484932
542;0;11;7801.22335388256
584;0;11;10024.347149503734
551;0;10;7801.22335388256
1277;0;11;9373.091527284563
254;0;8;10365.19831439209
256;2;5;10365.19831439209
184;0;6;9362.49105165017
186;0;6;9362.49105165017
185;0;14;9362.49105165017
182;0;14;9362.49105165017
248;0;10;10365.19831439209
91;0;7;11385.534332670926
766;0;7;11080.854050537824
772;0;7;11080.854050537824
1338;0;10;10813.39927083402
771;0;13;11080.854050537824
804;0;7;11016.83198758279
799;0;13;11016.83198758279
805;0;14;11016.83198758279
258;0;13;10365.19831439209
611;0;8;10690.009981598007
617;0;8;10690.009981598007
773;0;13;11080.854050537824
613;1;11;10690.009981598007
806;0;6;11016.83198758279
615;1;11;10690.009981598007
145;0;10;9001.456301019725
139;0;8;9001.456301019725
151;2;7;9001.456301019725
52;0;7;11799.753604982676
407;0;11;11014.64132914929
410;0;9;11014.64132914929
402;0;9;11014.64132914929
50;1;7;11799.753604982676
54;0;11;11799.753604982676
152;0;11;9001.456301019725
46;1;11;11799.753604982676
362;0;6;9743.337946884887
364;1;9;9743.337946884887
409;0;11;11014.64132914929
363;0;10;9743.337946884887
83;1;7;10807.477305912114
88;0;6;10807.477305912114
80;1;11;10807.477305912114
1364;1;11;9064.797417691814
1366;0;8;9064.797417691814
1367;0;8;9064.797417691814
1368;1;11;9064.797417691814
449;3;7;10203.46249853462
447;3;6;10203.46249853462
452;1;6;10203.46249853462
454;4;7;10203.46249853462
86;1;12;10807.477305912114
1306;0;9;12001.944187462605
1299;0;9;12001.944187462605
695;1;8;11534.02846019841
1140;0;5;10626.229550108077
1144;2;9;10626.229550108077
697;1;10;11534.02846019841
1143;0;11;10626.229550108077
696;0;9;11534.02846019841
820;0;8;9300.399259240596
826;0;9;9300.399259240596
827;0;11;9300.399259240596
1305;0;11;12001.944187462605
823;0;12;9300.399259240596
1304;0;11;12001.944187462605
1146;2;7;10626.229550108077
980;2;6;10608.315688474751
982;1;9;10608.315688474751
977;2;10;10608.315688474751
981;0;7;10608.315688474751
984;0;8;13370.882295138817
989;0;10;13370.882295138817
1058;0;11;10113.43983285536
1059;1;7;10113.43983285536
1064;0;8;10113.43983285536
987;1;9;13370.882295138817
1379;0;12;10071.580280551741
1378;0;8;10071.580280551741
1381;0;7;10071.580280551741
986;0;11;13370.882295138817
1041;0;10;8978.622399318429
1047;0;9;8978.622399318429
1046;0;8;8978.622399318429
1376;1;11;10071.580280551741
1048;2;9;8978.622399318429
1061;1;10;10113.43983285536
792;6;4;12523.908531844136
801;2;3;12523.908531844136
794;2;4;12523.908531844136
800;4;5;12523.908531844136
313;0;11;12675.03982670949
321;0;8;12675.03982670949
320;1;8;12675.03982670949
322;0;11;12675.03982670949
222;2;8;10725.306930788187
224;2;8;10725.306930788187
209;0;8;10725.306930788187
219;2;8;10725.306930788187
682;1;7;9893.445165877445
684;2;5;9893.445165877445
678;1;9;9893.445165877445
683;2;11;9893.445165877445
206;0;11;11957.260977305985
51;5;10;10521.40064636721
198;0;9;11957.260977305985
47;0;10;10521.40064636721
49;0;5;10521.40064636721
485;2;9;10000.12424763409
481;2;8;10000.12424763409
486;1;6;10000.12424763409
478;0;7;10000.12424763409
999;0;9;11621.070572874192
1001;1;8;11621.070572874192
998;0;9;11621.070572874192
996;3;8;11621.070572874192
207;0;14;11957.260977305985
693;0;11;11534.02846019841
323;1;10;12693.635091823566
326;1;5;12693.635091823566
333;2;7;12693.635091823566
355;0;13;9743.337946884887
331;2;8;12693.635091823566
53;0;5;10521.40064636721
208;0;6;11957.260977305985
913;0;4;11045.983021980399
911;0;11;11045.983021980399
912;4;4;11045.983021980399
915;3;11;11045.983021980399
846;0;12;10165.769666192062
839;0;8;10165.769666192062
831;0;12;10165.769666192062
842;0;8;10165.769666192062
1396;0;9;11734.797073067937
1399;0;5;11734.797073067937
1398;0;11;11734.797073067937
1400;0;15;11734.797073067937
1341;0;10;10155.965860267324
1337;0;9;10155.965860267324
1318;0;9;10155.965860267324
62;0;9;7593.527745705032
69;0;9;7593.527745705032
71;0;11;7593.527745705032
67;0;11;7593.527745705032
760;0;11;12097.586189642394
761;0;11;12097.586189642394
750;0;9;12097.586189642394
764;0;9;12097.586189642394
1331;0;10;10155.965860267324
202;0;6;13077.796121937172
199;0;8;13077.796121937172
193;1;11;13077.796121937172
200;1;13;13077.796121937172
305;0;11;10218.721263311676
298;0;9;10218.721263311676
293;0;7;10218.721263311676
288;0;13;10218.721263311676
377;0;11;11151.42938418491
140;0;7;8821.785218238427
376;0;8;11151.42938418491
380;0;9;11151.42938418491
133;0;12;8821.785218238427
805;0;9;11186.881449983195
369;0;12;11151.42938418491
804;0;7;11186.881449983195
798;0;13;11186.881449983195
139;0;8;8821.785218238427
807;0;11;11186.881449983195
141;0;13;8821.785218238427
1104;0;6;11236.104081784604
1096;0;8;11236.104081784604
1088;0;12;11236.104081784604
1193;0;9;9954.7394676905
1202;1;10;9954.7394676905
1206;0;9;9954.7394676905
656;0;6;9227.146824816922
773;0;8;9927.39119894182
662;0;8;9227.146824816922
770;0;6;9927.39119894182
774;0;12;9927.39119894182
1099;0;14;11236.104081784604
762;0;14;9927.39119894182
661;0;12;9227.146824816922
749;0;8;9573.870854479985
740;0;9;9573.870854479985
748;0;11;9573.870854479985
660;0;14;9227.146824816922
753;0;12;9573.870854479985
66;0;8;10903.710972701088
70;0;7;10903.710972701088
63;1;11;10903.710972701088
